nombre|partido|email|telefono 
Aispuro Torres, José Rosas|PAN| j.aispuro@senado.gob.mx|53-45-30-00 Ext: 3011, 3553.
Albores Gleason, Roberto Armando|PRI|roberto.albores@senado.gob.mx|53-45-30-00 Ext: 3556, 3349.
Amador Gaxiola, Daniel|PRI|daniel.amador@senado.gob.mx|53-45-30-00 Ext: 3341, 3993, 3450.
Ávila Ruiz, Daniel Gabriel|PAN|daniel.avila@pan.senado.gob.mx|53-45-30-00 Ext: 3327.
Ayala Almeida, Joel|PRI|jayala@senado.gob.mx|53-45-30-00 Ext: 3257, 3694.
Barbosa Huerta, Luis Miguel Gerónimo|PRD|miguel.barbosa@senado.gob.mx| 53-45-30-00 Ext.: 3158, 3116.
Barroso Agramont, Ricardo|PRI|rbarroso@senado.gob.mx|53-45-30-00 Ext: 3628, 3210.
Bartlett Díaz, Manuel|PT|mbartlett@senado.gob.mx|53-45-30-00 Ext: 5479, 5461.
Blásquez Salinas, Marco Antonio|PT|marcobla@senado.gob.mx|53-45-30-00 Ext: 3246, 3850, 3925.
Burgos García, Enrique|PRI|eburgosg@senado.gob.mx| 53-45-30-00 Ext: 5199, 3048.
Búrquez Valenzuela, Francisco de Paula|PAN|francisco.burquez@senado.gob.mx|53-45-30-00 Ext: 3933, 3999.
Camacho Solís, Víctor Manuel|PRD|manuel.camacho@senado.gob.mx| 53-45-30-00 Ext.: 3196, 5223.
Casillas Romero, Jesús|PRI|jesus.casillas@senado.gob.mx|53-45-30-00 Ext: 3183, 3159.
Cavazos Lerma, Manuel|PRI|manuel.cavazos@senado.gob.mx|53-45-30-00 Ext: 3359, 3978, 5011.
Cervantes Andrade, Raúl|PRI|rcervantes@senado.gob.mx| 53-45-30-00 Ext: 3404.
Chico Herrera, Miguel Ángel|PRI|mchicoh@senado.gob.mx| 53-45-30-00 Ext: 3204.
Cordero Arroyo, Ernesto Javier|PAN|mesadirectiva@senado.gob.mx|53-45-30-00 Ext: 2205, 2206.
Corral Jurado, Javier|PAN|javier.corral@pan.senado.gob.mx|53-45-30-00 Ext: 3035, 3432, 3527.
Cota Jiménez, Manuel Humberto|PRI| cotanayarit@senado.gob.mx| 53-45-30-00 Ext: 3342, 3451.
Delgado Carrillo, Mario Martín|PRD| mario.delgado@senado.gob.mx| 53-45-30-00 Ext.: 3470, 3827.
Demédicis Hidalgo, Fidel|PRD| fidel.demedicis@senado.gob.mx|53-45-30-00 Ext.: 3561, 5094.
Domínguez Servién, Francisco|PAN|panchodominguez@senado.gob.mx|53-45-30-00 Ext: 3409, 5348.
Encinas Rodríguez, Alejandro de Jesús|PRD|aencinas@senado.gob.mx|53-45-30-00 Ext.: 3112, 3961.
Escudero Morales, Pablo|PVEM|pablo.escudero@senado.gob.mx|53-45-30-00 Ext: 3293, 5170.
Fayad Meneses, Omar|PRI|omarfayad@senado.gob.mx|53-45-30-00 Ext: 3072, 3997.
Fernández Aguirre, Braulio Manuel|PRI|braulio.fernandez@senado.gob.mx|53-45-30-00 Ext: 3070, 3245.
Flores Ramírez, Juan Gerardo|PVEM| gerardo.flores@senado.gob.mx| 53-45-30-00 Ext:
Gamboa Patrón, Emilio Antonio|PRI| emilio.gamboa@senado.gob.mx|53-45-30-00 Ext: 3274, 2340.
Gándara Camou, Ernesto|PRI|ernesto.gandara@senado.gob.mx|53-45-30-00 Ext: 3433, 3185.
García Cabeza de Vaca, Francisco Javier|PAN|franciscocabezadevaca@senado.gob.mx|53-45-30-00 Ext: 3022, 5245.
Gil Zuarth, Roberto|PAN|roberto.gil@senado.gob.mx|53-45-30-00 Ext: 3084, 3569.
González Canto, Félix Arturo|PRI|felixgc@senado.gob.mx| 53-45-30-00 Ext: 3281, 5105.
González Cuevas, Isaías|PRI|igonzalez@senado.gob.mx| 53-45-30-00 Ext: 3283, 5116.
González Martínez, Jorge Emilio|PVEM| egonzalezm@senado.gob.mx|53-45-30-00 Ext: 3763, 3762.
Gracia Guzmán, Raúl|PAN| rgraciag@senado.gob.mx|53-45-30-00 Ext: 3395, 3495, 5440.
Hermosillo y Celada, Víctor|PAN|victor.hermosillo@senado.gob.mx|53-45-30-00 Ext: 3580, 3026, 3027.
Hernández Deras, Ismael Alfredo|PRI|ismaelhdezderas@senado.gob.mx|53-45-30-00 Ext: 3228, 5122.
Herrera Ávila, Fernando|PAN|fernandoh@senado.gob.mx|53-45-30-00 Ext: 3096.
Irízar López, Aarón|PRI|aaron.irizar@senado.gob.mx|53-45-30-00 Ext: 3340.
Juárez Cisneros, René|PRI|rene.juarez@senado.gob.mx|53-45-30-00 Ext: 3346.
Larios Córdova, Héctor|PAN|hlarios@senado.gob.mx|53-45-30-00 Ext: 3699, 3374.
Lavalle Maury, Jorge Luis|PAN|jorge.lavalle@senado.gob.mx|53-45-30-00 Ext: 3216.
López Brito, Francisco Salvador|PAN|flopez.brito@pan.senado.gob.mx|53-45-30-00 Ext: 3106, 5168.
López Hernández, Adán Augusto|PRD|adanaugusto@senado.gob.mx| 53-45-30-00 Ext.: 3134, 3308.
Lozano Alarcón, Javier|PAN|javierlozano@senado.gob.mx|53-45-30-00 Ext: 3219.
Martínez García, Patricio|PRI|patricio@senado.gob.mx|53-45-30-00 Ext: 3552.
Martínez Martínez, José María|PAN|josemariamartinez@senado.gob.mx|53-45-30-00 Ext: 3472.
